id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
784,颠茄,263,6306,6,4,0,2018-09-17,8,621664,36,733,55,2,1,98550,40.32,406279,5.32,34.12,5127.24,460215,171809000,82.08,1
822,包头,516,13798,13,31,30,2018-09-27,76,4115558,202,3325,578,2,22,131547,14.96,521299,6.56,13.88,8823.72,600403,25559.6,84.44,1
824,C++,183,10146,10,15,3,2018-09-04,26,3239543,291,9917,362,2,1,99272,200.96,170796,4.68,49.64,1546.92,197167,14246.6,90.48,1
846,高锰酸钾,404,7834,12,28,4,2018-09-05,19,5548630,218,7624,268,2,1,99647,1.4,173054,2.72,1.68,1472.52,199404,1399.72,85.56,1
893,三色堇,247,6091,10,7,7,2018-09-19,6,2145760,180,3178,204,3,8,200112,30.56,340829,4.6,21.72,3035.12,393411,5951.08,87.12,1
909,荆棘鸟,187,9327,7,4,1,2018-07-03,14,2161907,128,4909,65,4,8,2252675,1014.6,35566.4,12.12,782.8,1308.56,36287,241784,92.28,1
912,龙舌兰酒,123,3738,8,4,10,2018-09-17,2,3053265,187,1677,104,2,6,113252,41.04,518325,5.56,31.2,4692.04,597500,9613.12,82.88,1
958,杨梅,315,17175,7,10,7,2017-11-06,9,6526709,4667,9022,303,4,34,899,35.08,2859.72,6.76,36.24,39.6,2989.36,11938.2,95.48,1
984,紫藤,183,5115,7,12,7,2018-09-05,11,3451345,824,2555,163,2,4,34712,8.36,579082,5.04,6.96,7368.48,659191,171804000,89.04,1
1027,寒食,170,3189,6,4,2,2018-07-04,10,1107951,159,1608,49,2,13,2692350,544.96,237705,6.68,184.52,4092.2,265279,171841000,90.08,1
1031,杀破狼,131,3399,6,4,21,2018-09-03,18,6330551,192,4197,58,6,14,10796861,54.56,412305,6.08,54.16,5091.36,466267,171811000,87.24,1
1045,非政府组织,224,14284,12,4,2,2018-07-02,11,1272431,111,682,62,1,3,1416088,33.64,170686,3.92,13.48,1494.36,197033,5578.96,89.8,1
1103,枇杷,239,4567,8,6,4,2018-06-11,10,5651066,614,3940,285,2,2,103964,97.84,418112,5.48,60.32,6400.64,472170,171823000,77.16,1
1116,三星堆遗址,342,7273,6,8,7,2018-09-21,18,2370343,205,589,40,1,1,304608,73.76,589306,5.36,50.12,6750.2,669625,171814000,83.68,1
1122,百团大战,360,19967,8,8,29,2018-09-04,90,5440994,439,5758,137,5,6,13411,190.72,185068,8.24,188.72,1573.52,211823,40379.6,89.24,1
1130,精卫填海,438,7398,5,8,9,2018-10-14,23,4688788,1131,12495,324,0,9,9131,13.56,510414,5.72,15.12,4694.48,589492,6031.64,83.08,1
1138,商鞅变法,204,3324,5,4,6,2018-09-04,16,4101205,356,8829,295,0,1,104551,47.24,513751,4.08,48.68,4419.2,592748,9698.96,88.04,1
1153,拉萨,469,14826,11,29,24,2018-10-10,43,5198022,323,5671,258,1,1,104792,3.8,349236,6.48,2.92,6801.28,402008,18511.5,86.08,1
1158,王力宏,645,8182,8,12,30,2018-10-04,188,24848241,132,68305,1446,6,1,104887,34.72,512750,5.76,33.64,4643.16,591702,8476.92,87,1
1166,韦达定理,123,915,5,2,3,2018-06-11,8,4776972,305,12964,269,1,1,105027,18.24,404764,4.44,15.44,5007.12,458589,171803000,85.36,1
1180,蝴蝶效应,194,2118,9,4,0,2018-08-31,12,12667666,206,25679,82,6,14,9283471,111.6,406653,5.16,108.6,5036.8,460529,171818000,87.28,1
1190,重庆轨道交通,678,8069,6,14,6,2018-10-13,73,1738298,139,881,277,1,11,4648778,38.32,189156,7.52,32.32,1638.52,215718,21546.7,93.72,1
1216,哈利·波特,435,13941,10,10,13,2018-08-20,22,23938246,7865,78183,1504,6,3,238,607,434064,9.72,468.52,5810.68,488409,171942000,89.36,1
1221,Beyond,669,5775,5,11,30,2018-09-17,69,16731613,390,57576,707,1,3,105997,0,341563,6.36,0.08,2884.52,394558,5211.32,81.84,1
1222,朱自清,261,5504,6,2,7,2018-09-17,18,9403908,1363,55906,949,2,1,106017,488.92,527366,7.96,375.6,5027.28,606605,114759,85.04,1
1225,南通,634,17913,13,29,30,2018-10-16,158,6492044,286,5782,728,3,2,106072,48.84,684793,6.92,49.36,7191.72,790020,17944.1,89,1
1226,镇江,471,8803,13,19,21,2018-09-17,35,5395164,339,4418,559,0,4,406,16.96,521297,6.52,9.88,8100.04,600361,25323.1,86.96,1
1229,海门,334,12655,15,26,8,2018-10-12,31,1479756,104,1419,277,1,5,71895,13.68,418857,7.4,11.68,9369.04,472949,171825000,86.68,1
1239,丝绸之路,539,11571,7,10,11,2017-08-22,60,8471033,2061,32712,414,2,29,434,818.04,29799.5,10.96,823.96,21434.3,30231.4,159275,97.24,1
1242,欧洲冠军联赛,389,17199,10,19,7,2018-10-03,36,6130372,288,7027,717,5,1,4256767,2.68,170814,5.08,2.76,1458.48,197156,3434.32,91.36,1
1252,火把节,144,11632,6,6,10,2018-06-11,9,2582292,238,5699,190,5,1,106484,161.56,416333,7.56,52.16,5384.68,470555,171821000,88.76,1
1255,宣萱,452,3044,5,4,0,2018-08-31,65,10830022,327,9859,477,4,1,106537,130.32,343375,7.72,117.16,3245.52,395991,27160.6,91.64,1
1261,后街男孩,349,2229,6,3,14,2018-09-04,16,3925941,707,22396,205,3,1,106649,75.96,575615,5.36,19.16,6762.44,655734,171806000,85.4,1
1262,朱熹,55,55,7,13,10,2018-09-17,24,5525541,770,9124,351,2,3,106669,65.04,747680,5.68,62.72,8049.12,854116,171813000,85.64,1
1264,武汉大学,648,14285,7,16,9,2018-10-09,111,11682806,644,10194,771,11,1,106709,19.72,513862,5.2,19.24,4584.8,592885,9299.72,79.52,1
1267,武汉,631,16429,14,36,29,2018-10-16,105,19408618,1901,24362,2794,2,4,106764,3.24,347420,6.52,0.84,5961.12,400204,19895.4,90.88,1
1268,武昌区,499,11399,9,16,15,2018-09-25,25,1106036,94,336,83,1,3,1787482,496.92,189742,9.08,503.52,14390.8,216390,98849.7,85.76,1
1275,赤道,122,2213,8,5,0,2018-09-04,25,6126093,54,2871,61,6,3,16856390,82.52,408319,5.96,82.96,5075.4,462215,171815000,88.32,1
1281,竹叶青蛇,253,1804,9,0,8,2018-06-20,9,3213425,140,1545,100,3,7,855089,24.76,541541,8.88,10.2,7226.12,621321,74045.7,91.4,1
1295,沧州,330,9792,12,26,7,2018-09-26,25,4016647,183,2125,368,2,1,107238,209.72,348680,8.76,203.32,4321.24,401416,45017.2,93.52,1
1299,武义县,392,11422,11,34,15,2018-10-04,9,701488,48,487,112,1,3,8520568,32.84,245424,6.96,32.56,5885.24,273162,171819000,88.84,1
1323,古天乐,690,5213,6,13,30,2018-09-21,96,26745870,220,37979,641,3,1,107686,73.56,350626,7.44,71.56,4781.64,403331,30475.1,91.16,1
1328,借刀杀人,120,2611,8,4,0,2018-06-11,9,1258850,24,1316,36,4,4,1138156,204.04,418954,7.4,187.76,5269.96,473214,171844000,91.56,1
1336,茅台酒,548,9262,8,8,12,2018-10-12,23,3212661,1769,5183,254,2,4,198987,470.08,190466,8.64,475.68,14705.9,217221,96531.8,84.44,1
